collection||شعب الإيمان
hadith|8|أخبرنا أبو عبد الله الحافظ ثنا أبو بكر بن إسحاق أنا العباس بن الفضل الأسفاطي ثنا أحمد بن يونس ثنا فضيل بن عياض عن هشام عن الحسن عن بعض أصحابه قال قال رسول الله صلى الله عليه وسلم لا يستقيم إيمان عبد حتى يستقيم قلبه ولا يستقيم قلبه حتى يستقيم لسانه
hadith|9|أخبرنا أبو نصر بن قتادة أن أبو عمرو بن مطر ثنا خشنام بن بشر بن العنبر ثنا إبراهيم بن المنذر الحزامي ثنا أبو ضمرة أنس بن عياض حدثني عبد الله بن يرفأ عن عبد الرحمن بن فروخ عن عبد الله بن أبي قتادة عن أبيه قال قال رسول الله صلى الله عليه وسلم من شهد أن لا إله إلا الله وأن محمدا رسول الله فذل بها لسانه واطمأن بها قلبه لم تطعمه النار
hadith|10|أخبرنا حمزة بن عبد العزيز أنبا أبو بكر محمد بن أحمد بن دلويه ثنا أحمد بن حفص بن عبد الله حدثني أبي حدثني إبراهيم بن طهمان عن عمر بن سعيد عن سليمان عن مجاهد أنه قال في قول الله عز وجل إلا من شهد بالحق وهم يعلمون الزخرف 86 قال شهد بالحق وهو يعلم أن الله ربه
chapter||باب الدليل على أن الطاعات كلها إيمان
hadith|11|أخبرنا أبو عبد الله الحافظ أنا أبو النضر الفقيه ثنا عثمان بن سعيد الدارمي ثنا النفيلي ثنا زهير ثنا أبو إسحاق فذكره أخرجاه في الصحيح من حديث زهير بن معاوية وجعل رسول الله صلى الله عليه وسلم الطهور من الإيمان
hadith|12|أخبرنا أبو عبد الله الحافظ وأبو بكر أحمد بن محمد الأشناني قالا أنبا أبو الحسن أحمد بن محمد بن عبدوس ثنا عثمان بن سعيد الدارمي ثنا مسلم بن إبراهيم ثنا أبان بن يزيد عن يحيى بن أبي كثير عن زيد بن سلام عن أبي سلام عن أبي مالك الأشعري أن رسول الله صلى الله عليه وسلم كان يقول الطهور شطر الإيمان أخرجه مسلم في الصحيح من حديث أبان بن يزيد العطار
hadith|13|أخبرنا أبو عبد الله الحسين بن عبد الله البيهقي المسديدي فيما قرأت عليه من أصله بخسر وجرد قال أنبا أبو حامد أحمد بن محمد بن الحسين البيهقي نا داود بن الحسين البيهقي ثنا حميد بن زنجويه النسوي حدثنا أبو شيخ الحراني ثنا موسى بن أعين عن ليث عن عمرو بن مرة عن معاوية بن سويد قال أراه قال عن أبيه الشك من أبي شيخ قال كنا جلوسا عند النبي صلى الله عليه وسلم يوما نتحدث فقال رسول الله صلى الله عليه وسلم أتدرون أي عرى الإيمان أوثق فقالوا الصلاة فقال إن الصلاة لحسنة وما هي بها فقالوا الجهاد فقال إن الجهاد لحسن وما هو به فقالوا الحج فقال إن الحج لحسن وليس به فقالوا الصيام فقال الصيام لحسن وليس به فقال رسول الله صلى الله عليه وسلم أوثق عرى الإيمان أن تحب لله وتبغض له ورواه جرير بن عبد الحميد عن ليث بن أبي سليم عن عمرو بن مرة عن معاوية بن سويد بن مقرن عن البراء بن عازب عن النبي صلى الله عليه وسلم
hadith|14|أخبرناه أبو منصور النخعي بالكوفة ثنا أبو جعفر بن دحيم ثنا أحمد بن حازم أنبا عثمان بن أبي شيبة ثنا جرير فذكره بإسناده نحوه غير أنه قال في آخره فذكروا شرائع الإسلام فلما رآهم لا يصيبون قال إن أوثق عرى الإيمان أن تحب في الله وأن تبغض في الله فجعل هذه الشرائع كلها من الإيمان وشاهده في الحب والبغض ما
hadith|15|أخبرنا أبو عبد الله الحافظ ثنا محمد بن صالح بن هانئ وإبراهيم بن عصمة قالا نا السري بن خزيمة نا عبد الله بن يزيد المقرئ ثنا سعيد بن أبي أيوب عن أبي مرحوم عن سهل بن معاذ بن أنس الجهني عن أبيه أن رسول الله صلى الله عليه وسلم قال من أعطى لله ومنع لله وأحب لله وأبغض لله وأنكح لله فقد استكمل إيمانه وروى ذلك أيضا في حديث أبي امامة الباهلي عن النبي صلى الله عليه وسلم في غير الإنكاح فصرح بأن هذه الخصال كلها إيمان وأبان أن أوثق عرى الإيمان الإخلاص
hadith|16|أخبرنا أبو عبد الله الحافظ أنبا أبو بكر أحمد بن إسحاق الفقيه أنبا علي بن عبد العزيز ثنا عبدالسلام بن صالح الهروي ثنا علي بن موسى بن جعفر بن محمد بن علي بن الحسين بن علي بن أبي طالب حدثني أبي عن جعفر عن أبيه عن علي بن الحسين عن أبيه عن علي رضي الله عنهم قال قال رسول الله صلى الله عليه وسلم الإيمان معرفة بالقلب وإقرار باللسان وعمل بالأركان
hadith|17|وحدثنا أبو محمدعبيد بن محمد بن مهدي القشيري أنبا أبو محمد عبد الله بن محمد بن موسى بن كعب ثنا أبو محمد الفضل بن محمد بن المسيب البيهقي ثنا أبو الصلت الهروي عبدالسلام ومحمد بن أسلم قالا ثنا علي بن موسى الرضا عن أبيه فذكره بإسناده غير أنه قال الإيمان إقرار باللسان ومعرفة بالقلب وعمل بالجوارح وشاهد هذا الحديث ما مضى في الحديث الثابت عن النبي صلى الله عليه وسلم في عدد شعب الإيمان وأما قول الله عز وجل إن الذين آمنوا وعملوا الصالحات فأفرد العمل الصالح بالذكر وقد قال أيضا إلا الذين آمنوا وعملوا الصالحات وتواصوا بالحق وتواصوا بالصبر العصر 3 فأفرد التواصي بالحق والتواصي بالصبر بالذكر ولم يدلك ذلك على أنهما ليسا من الأعمال الصالحة فكذلك قوله إن الذين آمنوا وعملوا الصالحات لا يدل على أن عمل الصالحات ليس بإيمان وإنما معناه أن الذين آمنوا قبل الإيمان الناقل عن الكفر ثم لم يقتصروا عليه ولكنهم ضموا إليه الصالحات فعملوها حتى ارتقى إيمانهم من درجة الأقل إلى الأكمل أو نقول ان المراد بالذين آمنوا الإيمان بالله وبعمل الصالحات الإيمان لله والإيمانان متغايران على ما بينا فلذلك سميا باسمين والله اعلم
chapter||باب الدليل على أن الإيمان والإسلام على الإطلاق عبارتان عن دين واحد
hadith|18|أخبرنا أبو الحسن علي بن محمد بن علي المقرئ الإسفراييني بها أنبا الحسن بن محمد بن إسحاق ثنا يوسف بن يعقوب القاضي ثنا عمرو بن مرزوق ثنا شعبة عن أبي جمرة عن بن عباس رضي الله عنه أن وفد عبدالقيس لما قدموا على رسول الله صلى الله عليه وسلم قال من القوم قالوا ربيعة قال مرحبا بالوفد غير الخزايا ولا النادمين قالوا يا رسول الله انا حي من ربيعة وإنا نأتيك من شقة بعيدة وإنه يحول بيننا وبينك هذا الحي من كفار مضر وانا لا نصل إليك إلا في شهر حرام فمرنا بأمر فصل ندعو إليه من وراءنا وندخل به الجنة قال فقال رسول الله صلى الله عليه وسلم آمركم بأربع وأنهاكم عن أربع آمركم بالإيمان بالله وحده أتدرون ما الإيمان بالله وحده شهادة أن لا إله إلا الله وأن محمدا رسول الله وإقام الصلاة وإيتاء الزكاة وأن تعطوا من المغانم الخمس وأنهاكم عن أربع عن الدباء والحنتم والنقير والمزفت قال 1 وربما قال المقير احفظوهن وادعوا إليهن من وراءكم أخرجه البخاري ومسلم في الصحيح من حديث شعبة وغيره فسمى رسول الله صلى الله عليه وسلم كلمة الشهادة في هذا الحديث إيمانا وسماها في حديث آخر إسلاما
hadith|19|وذلك فيما أخبرنا أبو عبد الله الحافظ ثنا أبو عبد الله محمد بن يعقوب ثنا يحيى بن محمد بن يحيى وأبو عبد الله البوشنجي قالا ثنا مسدد وأخبرنا أبو نصر عمر بن عبد العزيز بن عمر بن قتادة من أولاد النعمان بن بشير ثنا أبو محمد عبد الله بن أحمد بن سعد الحافظ ثنا أبو عبد الله محمد بن إبراهيم البوشنجي ثنا أبو الحسن مسدد بن مسرهد ثنا يحيى بن سعيد عن عثمان بن غياث حدثني عبد الله بن بريدة عن يحيى بن يعمر وحميد بن عبد الرحمن قالا لقينا عبد الله بن عمر فذكرنا له القدر وما يقولون فيه فقال إذارجعتم إليهم فقولوا لهم إن بن عمر منكم بريء وأنتم منه براء ثلاث مرات ثم قال أخبرني عمر أو قال حدثني عمر بن الخطاب رضي الله عنه أنهم بينا هم جلوس عند رسول الله صلى الله عليه وسلم جاء رجل حسن الوجه حسن الشعر عليه ثياب بياض فنظر القوم بعضهم إلى بعض فقالوا ما نعرف هذا ولا هذا صاحب سفر ثم قال يا رسول الله آتيك قال نعم قال فجاء فوضع ركبتيه عند ركبتيه ويديه على فخذيه فقال ما الإسلام قال الإسلام شهادة أن لا إله إلا الله وأن محمدا رسول الله وتقيم الصلاة وتؤتى الزكاة وتصوم رمضان وتحج البيت قال فما الإيمان قال أن تؤمن بالله وملائكته والجنة والنار والبعث بعد الموت والقدر كله قال فما الإحسان قال أن تعمل كأنك ترى فإن لم تكن ترى فإنك ترى قال فمتى الساعة قال ما المسؤول عنها بأعلم من السائل قال فما أشراطها قال إذا رأيت الحفاة العراة العالة رعاء الشاء يتطاولون في البنيان وولدت الاماء أربابهن ثم قال علي بالرجل فطلبوه فلم يروا شيئا فلبث يومين أو ثلاثة ثم قال يا بن الخطاب أتدري من السائل عن كذا وكذا قال الله ورسوله أعلم قال ذاك جبريل جاءكم يعلمكم أمر دينكم قال وسأله رجل من جهينة أو مزينة قال يا رسول الله فيم نعمل أفي شيء قد خلا أو مضى أؤ شيء يستأنف الآن قال في شيء قد خلا ومضى فقال رجل أو بعض القوم فيم نعمل إذن قال إن أهل الجنة ييسرون لعمل أهل الجنة وإن أهل النار ييسرون لعمل أهل النار رواه مسلم في الصحيح عن محمد بن حاتم عن يحيى بن سعيد قال الإمام أبو بكر البيهقي رحمه الله وفي تسمية كلمة الشهادة في هذا الحديث إسلاما وفي الحديث الأول إيمانا دلالة على أنهما اسمان لمسمى واحد إلا أنه فسر في هذا الحديث الأيمان بما هو صريح فيه وهو التصديق وفسر الإسلام بما هو امارة له وإن كان اسم صريحه يتناول أماراته واسم أماراته يتناول صريحه وهذا كما فصل بينهما وبين الإحسان وإن كان الإيمان والإسلام إحسانا والإحسان الذي فسر بالإخلاص واليقين يكون إيمانا والله تعالى أعلم
hadith|20|أخبرنا أبو عبد الله الحافظ أنا أبو عبد الله محمد بن عبد الله الصفار ثنا أحمد بن مهران ثنا عبيد الله بن موسى أنا حنظلة بن أبي سفيان عن عكرمة بن خالد عن بن عمر قال قال رسول الله صلى الله عليه وسلم بني الإسلام على خمس شهادة أن لا إله إلا الله أظنه قال وأن محمدا رسول الله وإقام الصلاة وإيتاء الزكاة والحج وصوم رمضان رواه البخاري في الصحيح عن عبيد الله بن موسى وقال وأن محمدا رسول الله ولم يذكره بعض الرواة عن عبيد الله ولا أكثرهم عن حنظلة وأخرجه مسلم عن وجه آخر عن حنظلة فسمى هذه الأركان الخمسة في هذه الرواية إسلاما وقد سماهن في رواية أخرى إيمانا
hadith|21|أخبرنا محمد بن عبد الله الحافظ أنا أبو بكر أحمد بن إسحاق الفقيه أنا موسى بن إسحاق ثنا عبد الله بن أبي شيبة ثنا جرير بن عبد الحميد عن منصور عن سالم بن أبي الجعد عن عطية مولى بني عامر عن يزيد السكسكي قال قدمت المدينة فدخلت على عبد الله بن عمر فأتاه رجل من أهل العراق فقال يا أبا عبد الرحمن مالك تحج وتعتمر وقد تركت الغزو في سبيل الله قال ويلك إن الإيمان بني على خمس تعبد الله وتقيم الصلاة وتوتي الزكاة وتحج البيت وتصوم رمضان قال فردها عليه فقال عبد الله كذلك حدثنا رسول الله صلى الله عليه وسلم ثم الجهاد بعد ذلك حسن قال الإمام أبو بكر البيهقي صلى الله عليه وسلم رحمه الله وإنما أراد والله أعلم أن الجهاد من فروض الكفايات وليس بفرض على الأعيان
hadith|22|أخبرنا أبو الحسن علي بن محمد بن علي المقرئ أنبا الحسن بن محمد بن إسحاق ثنا يوسف بن يعقوب ثنا سليمان بن حرب ثنا حماد بن زيد عن أيوب وأخبرنا أبو الحسن علي بن أحمد بن عبدان أنبا أحمد بن عبيد الصفار نا عبيد بن شريك أنا أبو صالح أنبا الفزاري أنبا سفيان بن سعيد عن أيوب عن أبي قلابة عن رجل من أهل الشام من أهل الإسلام عن أبيه قال جاء رجل إلى رسول الله صلى الله عليه وسلم يسأله عن الإسلام وفي رواية حماد قال عن أبيه أن النبي صلى الله عليه وسلم قال له أسلم تسلم قال وما الإسلام قال تسلم قلبك لله ويسلم المسلمون من لسانك ويدك قال فأي الإسلام أفضل قال الإيمان قال فما الإيمان قال تؤمن بالله وملائكته وكتبه ورسله وبالبعث بعد الموت قال فأي الإيمان أفضل قال الهجرة قال وما الهجرة قال أن تهجر السوء قال فأي الهجرة أفضل قال الجهاد قال وما الجهاد قال أن تجاهد أو قال تقاتل الكفار إذا لقيتهم وفي رواية سفيان قال تقاتل العدو إذا لقيتهم ولا تغل ولا تجبن وفي رواية حماد ثم لا تغل ولا تجبن وزاد ثم قال رسول الله صلى الله عليه وسلم ثم عملان هما من أفضل الأعمال إلا من عمل عملا بمثلهما وقال بإصبعية هكذا السبابة والوسطى حجة مبرورة أو عمرة مبرورة قال الحليمي رحمه الله تعالى فأبان هذا الحديث أن الإسلام الذي أخبر الله عز وجل أنه هو الدين عنده بقوله إن الدين عند الله الإسلام وقوله ومن يبتغ غير الإسلام دينا فلن يقبل منه وقوله اليوم أكملت لكم دينكم وأتممت عليكم نعمتي ورضيت لكم الإسلام دينا ينظم الإعتقاد والأعمال الظاهرة لأن قوله الإسلام أن تسلم قلبك لله إشارة إلى تصحيح الإعتقاد وقوله أن يسلم المسلمون من لسانك ويدك إشارة إلى تصحيح المعاملات الظاهرة ثم صرح بذلك فأخبر أن الإيمان أفضل الإسلام وفسره بأنه الإيمان بالله وملائكته وكتبه ورسله والبعث أراد أن الإيمان بالغيب أفضل من الإيمان بما يشاهد ويرى وهذا موافق لقول الله عز وجل الذين يؤمنون بالغيب مدحا لهم وثناء عليهم ثم أبان أن الإعتقاد وعامة الأعمال إيمان فقال أفضل الإيمان الهجرة ثم فرع الهجرة فدل ذلك على أن الطاعات كلها إيمان كما هي إسلام وأن الإسلام هو الإذعان لله عز وجل سواء وقع بأمر باطن أو بأمر ظاهر بعد أن يكون الأمران مما رضي الله تعالى لعباده أن يتقربوا به إليه
hadith|23|أخبرنا أبو عبد الله الحافظ ثنا أبو العباس محمد بن يعقوب ثنا الحسن بن علي بن عفان العامري ثنا بن نمير عن الأعمش وأخبرنا أبو عبد الله أخبرني أبو النضر محمد بن محمد بن يوسف الفقيه ثنا معاذ بن نجدة القرشي ثنا خلاد بن يحيى ثنا سفيان عن منصور والأ عمش عن أبي وائل عن عبد الله بن مسعود قال قال رجل يا رسول الله أيواخذ الله الرجل بما عمل في الجاهلية قال من أحسن في الإسلام لم يؤاخذ بما عمل في الجاهلية ومن أساء في الإسلام أخذ بالأول والآخر لفظ حديث أبي النضر رواه البخاري في الصحيح عن خلاد بن يحيى ورواه مسلم عن محمد بن عبد الله بن نمير عن أبيه قال الحليمي رحمه الله تعالى وهذا على أن الطاعات في الإيمان إيمان وأن المعاصي في الكفر كفر فإذا أسلم الكافر أحبط أسلامه كفره فإن أحسن في الإسلام أحبطت طاعاته تلك المعاصي التي قدمها في حال كفره وإن لم يحسن في الإسلام بقيت تلك المعاصي بحالها لم يجد ما يحبطها فأخذ بإساءته في الإسلام وفيما قبله وبسط الكلام في شرح ذلك ولا يلزم على هذا إلزامه قضاء ما ترك من صوم وصلاة لأنه إذا صام وصلى بعد ما أسلم سقط عنه ما ترك في الكفر بدلالة الحديث وإن لم يصل ولم يصم أمر بهما وحمله على ذلك حمل له على ما إذا فعله سقط عنه ما مضى
hadith|24|أخبرنا أبو جعفر كامل بن أحمد المستملي وأبو نصر عمر بن عبد العزيز بن قتادة قالا ثنا أبو العباس محمد بن إسحاق بن أيوب الصبغي ثنا الحسن بن علي بن زياد السري ثنا إسماعيل بن أبي أويس قال حدثني مالك عن زيد بن أسلم عن عطاء بن يسار عن أبي سعيد الخدري أن رسول الله صلى الله عليه وسلم قال إذا أسلم العبد فحسن إسلامه كفر الله عنه كل سيئة زلفها وكتب الله له كل حسنة كان زلفها ثم كان القصاص الحسنة بعشر أمثالها إلى سبعمائة ضعف والسيئة بمثلها إلا أن يتجاوز الله عز وجل أخرجه البخاري في الصحيح فقال وقال مالك فذكره قال الإمام الحافظ أبو بكر البيهقي رحمه الله أسنده مالك وأرسله بن عيينة
hadith|25|أخبرناه أبو الحسين بن بشران أنا إسماعيل بن محمد الصفار ثنا سعدان بن نصر ثنا سفيان بن عيينة عن زيد بن أسلم سمع عطاء بن يسار يخبر عن النبي صلى الله عليه وسلم قال أذا أسلم العبد فحسن إسلامه تقبل منه كل حسنة زلفها وكفر عنه كل سيئة زلفها وكان في الإسلام ما كان الحسنة بعشر أمثالها إلى سبعمائة والسيئة بمثلها أو يمحوها الله عز وجل
chapter||باب القول في زيادة الإيمان ونقصانه وتفاضل أهل الإيمان في إيمانهم
hadith|26|أخبرنا أبو طاهر الفقيه أنبا أبو بكر محمد بن عمر بن حفص الزاهد ثنا السري بن خزيمة الأبيوردي ثنا عبد الله بن يزيد هو المقرئ ثنا سعيد هو بن أبي أيوب حدثني محمد بن عجلان عن القعقاع بن حكيم عن أبي صالح عن أبي هريرة أن رسول الله صلى الله عليه وسلم قال أكمل المؤمنين إيمانا أحسنهم خلقا
hadith|27|وأخبرنا أبو طاهر الفقيه أنبا أبو محمد حاجب بن أحمد الطوسي ثنا محمد بن يحيى الذهلي ثنا يعلي بن عبيد ثنا محمد بن عمرو عن أبي سلمة عن أبي هريرة قال قال رسول الله صلى الله عليه وسلم إن أكمل المؤمنين إيمانا أحسنهم خلقا وخياركم خياركم لنسائكم قال الحليمي رحمه الله تعالى فدل هذا القول على أن حسن الخلق إيمان وأن عدمه نقصان إيمان وأن المؤمنين متفاوتون في إيمانهم فبعضهم أكمل إيمانا من بعض
hadith|28|أخبرنا أبو الحسين علي بن محمد بن عبد الله بن بشران ثنا إسماعيل بن محمد الصفار ثنا الحسن بن علي بن عفان ثنا بن نمير عن الأعمش عن إسماعيل بن رجاء عن أبيه قال أخرج مروان المنبر وبدأ بالخطبة قبل الصلاة فقام رجل فقال يا مروان خالفت السنة أخرجت المنبر ولم يكن يخرج وبدأت بالخطبة قبل الصلاة فقال أبو سعيد من هذا فقالوا فلان فقال أبو سعيد قد قضى هذا الذي عليه إن رسول الله صلى الله عليه وسلم قال من رأى أمرا منكرا فليغيره بيده فإن لم يستطع فبلسانه فإن لم يستطع فبقلبه وذلك أضعف الإيمان أخرجه مسلم في الصحيح من حديث الأ عمش
hadith|29|أخبرنا أبو عبد الله الحافظ ثنا أبو بكر بن إسحاق الفقيه أنبا أحمد بن إبراهيم بن ملحان ثنا بن بكير ثنا الليث عن بن الهاد عن عبد الله بن دينار عن عبد الله بن عمر أن رسول الله صلى الله عليه وسلم قال يا معشر النساء تصدقن وأكثرن الاستغفار فإني رأيتكن أكثر أهل النار قالت إمرأة منهن ومالنا يا رسول الله قال تكثرن اللعن وتكفرن العشير وما رأيت من ناقصات عقل ودين أغلب لذي اللب منكن قالت يا رسول الله وما نقصان العقل والدين قال أما نقصان العقل فشهادة امرأتين تعدل شهادة رجل فهذا نقصان العقل وتمكث الليالي لا تصلي وتفطر في رمضان فهذا نقصان الدين رواه مسلم في الصحيح عن محمد بن رمح عن الليث وأخرجاه من حديث أبي سعيد
hadith|30|أخبرنا أبو عبد الله الحافظ ثنا أبو منصور محمد بن القاسم العتكي ثنا الفضل بن محمد الشعراني ثنا إسماعيل بن أبي أويس حدثني مالك ح وأخبرنا أبو عمرو محمد بن عبد الله الأديب أنبأ أبو بكر الإسماعيلي أخبرني الحسن بن سفيان ثنا هارون بن سعيد الأيلي حدثنا عبد الله بن وهب حدثني مالك عن عمرو بن يحيى المازني أخبرني أبي عن أبي سعيد الخدري أن رسول الله صلى الله عليه وسلم قال يدخل الله أهل الجنة الجنة يدخل من يشاء برحمته ويدخل أهل النار النار ثم يقول انظروا من وجدتم في قلبه مثقال حبة خردل من إيمان فأخرجوه فيخرجون منها حمما قد امتحشواويلقون في نهر الحياة أو الحيا فينبتون فيه كما تنبت الحبة إلى جانب السيل ألم تروها تخرج صفراء ملتوية هذا لفظ حديث بن وهب رواه البخاري في الصحيح عن بن أبي أويس ورواه مسلم عن هارون بن سعيد قال الحليمي رحمه الله تعالى ووجه هذا أن يكون في قلب واحد توحيد ليس معه خوف غالب علي القلب فيردع ولا رجاء حاضر له فيطمع بل يكون صاحبه ساهيا قد أذهلته الدنيا عن الآخرة فإنه إذا كان بهذه الصفة انفرد التوحيد في قلبه عن قرائنه التي لو كانت لكانت أبوابا من الإيمان تتكثر بالتوحيد ويتكثر التوحيد بها إذ كانت تصديقا والتصديق من وجه واحد أضعف من التصديق من وجوه كثيرة فإذا كان ذلك خف وزنه وإذا تتابعت شهاداته ثقل وزنه وله وجه آخر وهو أن يكون إيمان واحد في أدنى مراتب اليقين حتى إن تشكك تشكك وإنما آخر في أقصى غايات اليقين فهذا يثقل وزنه والأول يخف وزنه وله وجه آخر وهو أن يكون إيمان واحد ناشئا عن استدلال قوي ونظر كامل وإيمان آخر واقع عن الخبر والركون إلى المخبر به على ما يذكره فيكون الأول أثقل وزنا والثاني أخف وزنا وهذا الخبر يدل على تفاوت الناس في إيمانهم قال الإمام الحافظ أبو بكر البيهقي رحمه الله وقد روي عن عبد الرحمن بن بزرج قال سمعت أبا هريرة يقول قال رسول الله صلى الله عليه وسلم ما أخاف على أمتي إلا ضعف اليقين
hadith|31|أخبرنا علي بن أحمد بن عبدان ثنا أحمد بن عبيد الصفار ثنا أحمد بن بشر المرثدي ثنا أحمد بن عيسى ثنا عبد الله بن وهب ثنا سعيد بن أبي أيوب عن عبد الرحمن بن بزرج فذكره وهذا يدل على تفاوتهم في اليقين أما قوله عز وجل اليوم أكملت لكم دينكم وما ورد في معناه فإنه لا يمنع من قولنا بزيادة الإيمان ونقصانه لأن معنى قوله اليوم أكملت لكم دينكم أي أكملت لكم وضعه فلا أفرض عليكم من بعد ما لم أفرضه عليكم إلى اليوم ولا أضع عنكم بعد اليوم ما قد فرضته قبل اليوم فلا تغليظ من الآن ولا تخفيف ولا نسخ ولا تبديل وليس معناه أنه أكمل لنا ديننا من قبل أفعالنا لأن ذلك لوكان كذلك لسقط عن المخاطبين بالآية الدوام على الإيمان لآن الدين قد كمل وليس بعد الكمال شيء فإذا كان الدوام على الإيمان مسقبلا وهو إيمان فلذلك الطاعات الباقية التي تجب شيئا فشيئا كلها إيمان والكمال راجع إلى إكمال الشرع والوضع لا إلى إكمال اداء المؤدين له وقيام القائمين به والله تعالى أعلم
